Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage
TheCollegeFever,,"Bangalore, Karnataka, India","Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",,,250000,Seed
Happy Cow Dairy,,"Mumbai, Maharashtra, India","Agriculture, Farming",A startup which aggregates milk from dairy farmers in rural Maharashtra.,,,"?40,000,000",Seed
MyLoanCare,,"Gurgaon, Haryana, India","Credit, Financial Services, Lending, Marketplace",Leading Online Loans Marketplace in India,,,"?65,000,000",Series A
PayMe India,,"Noida, Uttar Pradesh, India","Financial Services, FinTech",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,,,2000000,Angel
Eunimart,,"Hyderabad, Andhra Pradesh, India","E-Commerce Platforms, Retail, SaaS",Eunimart is a one stop solution for merchants to create a difference by selling globally.,,,—,Seed
Hasura,,"Bengaluru, Karnataka, India","Cloud Infrastructure, PaaS, SaaS","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",,,1600000,Seed
Tripshelf,,"Kalkaji, Delhi, India","Internet, Leisure, Marketplace",Tripshelf is an online market place for holiday packages.,,,"?16,000,000",Seed
Hyperdata.IO,,"Hyderabad, Andhra Pradesh, India",Market Research,Hyperdata combines advanced machine learning with human intelligence.,,,"?50,000,000",Angel
Freightwalla,,"Mumbai, Maharashtra, India","Information Services, Information Technology",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,,,—,Seed
Microchip Payments,,"Bangalore, Karnataka, India",Mobile Payments,Microchip payments is a mobile-based payment application and point-of-sale device,,,—,Seed
BizCrum Infotech Pvt. Ltd.,,"Delhi, Delhi, India","B2B, Shoes",Building Transactionary B2B Marketplaces,,,—,Seed
Emojifi,,"Bengaluru, Karnataka, India",Internet,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",,,—,Seed
Flock,,"India, Asia","Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,,,—,Seed
Freshboxx,,"Hubli, Karnataka, India",Food Delivery,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",,,—,Seed
Wide Mobility Mechatronics,,"Bangalore, Karnataka, India",Industrial Automation,Wide Mobility Mechatronics is a Private Company limited by Shares,,,—,Seed
Pitstop,,"Bengaluru, Karnataka, India","Automotive, Search Engine, Service Industry",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,,,"?100,000,000",Seed
Mihuru,,"Mumbai, Maharashtra, India","Finance, Internet, Travel",Mihuru is an online platform which gives micro loans for air travel .,,,150000,Seed
Fyle,,"Bengaluru, Karnataka, India","Accounting, Business Information Systems, Business Travel, Finance, SaaS",Fyle is an intelligent expense management platform for enterprises.,,,1100000,Seed
AppWharf,,"New Delhi, Delhi, India","Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,,,—,Seed
Antariksh Waste Ventures Pvt ltd,,"Chennai, Tamil Nadu, India","Internet of Things, Waste Management",Waste Management for Smart Cities,,,"?500,000",Seed
Cogoport,,"Mumbai, Maharashtra, India","Air Transportation, Freight Service, Logistics, Marine Transportation",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,,,6000000,Series A
PaisaDukan,,"Mumbai, Maharashtra, India",Financial Services,A P2P lending marketplace platform,,,650000,Seed
Sleepy Owl Coffee,,"New Delhi, Delhi, India",Food and Beverage,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",,,"?35,000,000",Seed
BlueJack,,"Delhi, Delhi, India",Autonomous Vehicles,Delhi-based online used vehicles marketplace.,,,"?64,000,000",Seed
PregBuddy,,"Bengaluru, Karnataka, India","Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",PregBuddy is a smart connected care platform for expecting mothers.,,,—,Seed
AgNext Technologies,,"Mohali, Punjab, India","Agriculture, Analytics, Big Data, Farming",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,,,—,Series A
Pando,,"Chennai, Tamil Nadu, India","Logistics, Supply Chain Management",A startup which digitizes logistics operations for Fortune 500 companies.,,,2000000,Seed
